2L	9839	18570	-	OG0001402	Dmel_ISO1	FBtr0078170
2L	25402	59268	-	OG0001403	Dmel_ISO1	FBtr0078164
2L	67043	71390	+	OG0001404	Dmel_ISO1	FBtr0078100
2L	82421	87387	-	OG0001405	Dmel_ISO1	FBtr0290323
2L	103962	106732	-	OG0001406	Dmel_ISO1	FBtr0301452
2L	107761	114432	+	OG0001407	Dmel_ISO1	FBtr0089429
2L	117079	121754	-	OG0001408	Dmel_ISO1	FBtr0078156
2L	138384	140992	-	OG0001409	Dmel_ISO1	FBtr0302194
2L	141077	143091	-	OG0001410	Dmel_ISO1	FBtr0330645
2L	143323	144227	+	OG0001411	Dmel_ISO1	FBtr0078116
2L	144231	153300	-	OG0001412	Dmel_ISO1	FBtr0301929
2L	153539	155305	-	OG0001413	Dmel_ISO1	FBtr0078147
2L	155335	156030	+	OG0001414	Dmel_ISO1	FBtr0078117
2L	156149	157666	+	OG0001415	Dmel_ISO1	FBtr0078119
2L	157836	158664	-	OG0001416	Dmel_ISO1	FBtr0091612
2L	159032	201588	+	OG0001417	Dmel_ISO1	FBtr0078122
2L	203779	204782	+	OG0001418	Dmel_ISO1	FBtr0078124
2L	204743	207297	-	OG0001419	Dmel_ISO1	FBtr0078146
2L	210735	250823	-	OG0001420	Dmel_ISO1	FBtr0299837
2L	232487	234208	+	OG0001421	Dmel_ISO1	FBtr0078126
2L	251163	252373	-	OG0001422	Dmel_ISO1	FBtr0078143
2L	252589	271744	-	OG0001423	Dmel_ISO1	FBtr0078140
2L	263466	267505	-	OG0001424	Dmel_ISO1	FBtr0078142
2L	269088	271626	+	OG0001425	Dmel_ISO1	FBtr0078127
2L	271912	273715	-	OG0001426	Dmel_ISO1	FBtr0078139
2L	273937	274766	+	OG0001427	Dmel_ISO1	FBtr0078128
2L	274740	277212	-	OG0001428	Dmel_ISO1	FBtr0300804
2L	277582	282167	+	OG0001429	Dmel_ISO1	FBtr0078129
2L	281971	283269	-	OG0001430	Dmel_ISO1	FBtr0078137
2L	283385	285726	-	OG0001431	Dmel_ISO1	FBtr0078136
2L	287252	288932	-	OG0001432	Dmel_ISO1	FBtr0078134
2L	292419	293222	+	OG0001433	Dmel_ISO1	FBtr0078130
2L	293353	294681	-	OG0001434	Dmel_ISO1	FBtr0078133
2L	295122	297449	+	OG0001435	Dmel_ISO1	FBtr0078131
2L	297880	303934	+	OG0001436	Dmel_ISO1	FBtr0331205
2L	310200	347927	+	OG0001437	Dmel_ISO1	FBtr0078050
2L	318362	319259	-	OG0001438	Dmel_ISO1	FBtr0078099
2L	320279	321248	-	OG0001439	Dmel_ISO1	FBtr0078098
2L	322101	323091	+	OG0001440	Dmel_ISO1	FBtr0078052
2L	327429	329761	-	OG0001441	Dmel_ISO1	FBtr0330696
2L	329910	332335	-	OG0001442	Dmel_ISO1	FBtr0078096
2L	355565	357874	-	OG0001443	Dmel_ISO1	FBtr0078094
2L	378112	387439	+	OG0001444	Dmel_ISO1	FBtr0078053
2L	396595	402198	-	OG0001445	Dmel_ISO1	FBtr0078093
2L	404285	407969	+	OG0001446	Dmel_ISO1	FBtr0078054
2L	408876	412885	-	OG0001447	Dmel_ISO1	FBtr0089489
2L	415067	418536	+	OG0001448	Dmel_ISO1	FBtr0078055
2L	418434	419652	-	OG0001449	Dmel_ISO1	FBtr0078090
2L	419952	420697	+	OG0001450	Dmel_ISO1	FBtr0078056
2L	420895	421450	-	OG0001451	Dmel_ISO1	FBtr0078089
2L	421771	422489	+	OG0001452	Dmel_ISO1	FBtr0078057
2L	422873	425321	+	OG0001453	Dmel_ISO1	FBtr0078058
2L	431227	448701	+	OG0001454	Dmel_ISO1	FBtr0078059
2L	448254	453024	-	OG0001455	Dmel_ISO1	FBtr0078087
2L	453108	454654	+	OG0001456	Dmel_ISO1	FBtr0078060
2L	455531	458745	+	OG0001457	Dmel_ISO1	FBtr0078061
2L	458876	472200	-	OG0001458	Dmel_ISO1	FBtr0310034
