2L	62630	68670	-	OG0001402	Dyak_Tai18E2	jg5057.t1
2L	74949	102814	-	OG0001403	Dyak_Tai18E2	jg5054.t1
2L	111249	120233	+	OG0001404	Dyak_Tai18E2	jg5053.t1
2L	127573	135854	-	OG0001405	Dyak_Tai18E2	jg5052.t1
2L	148949	151125	-	OG0001406	Dyak_Tai18E2	jg5049.t1
2L	153173	157838	+	OG0001407	Dyak_Tai18E2	jg5048.t1
2L	159921	163804	-	OG0001408	Dyak_Tai18E2	jg5047.t1
2L	182888	183528	-	OG0001409	Dyak_Tai18E2	jg5044.t1
2L	185347	186705	-	OG0001410	Dyak_Tai18E2	jg5042.t1
2L	187722	188444	+	OG0001411	Dyak_Tai18E2	jg5041.t1
2L	188815	197548	-	OG0001412	Dyak_Tai18E2	jg5040.t1
2L	198123	199695	-	OG0001413	Dyak_Tai18E2	jg5039.t1
2L	200056	200434	+	OG0001414	Dyak_Tai18E2	jg5038.t1
2L	200728	202038	+	OG0001415	Dyak_Tai18E2	jg5037.t1
2L	202440	203115	-	OG0001416	Dyak_Tai18E2	jg5036.t1
2L	220890	247675	+	OG0001417	Dyak_Tai18E2	jg5035.t1
2L	250070	250930	+	OG0001418	Dyak_Tai18E2	jg5034.t1
2L	251248	252259	-	OG0001419	Dyak_Tai18E2	jg5033.t1
2L	282282	283666	+	OG0001421	Dyak_Tai18E2	jg5030.t1
2L	283692	297853	-	OG0001420	Dyak_Tai18E2	jg5029.t1
2L	301235	302363	-	OG0001422	Dyak_Tai18E2	jg5028.t1
2L	302745	304452	-	OG0001423	Dyak_Tai18E2	jg5027.t1
2L	314303	317218	-	OG0001424	Dyak_Tai18E2	jg5026.t1
2L	319902	322032	+	OG0001425	Dyak_Tai18E2	jg5025.t1
2L	322688	324406	-	OG0001426	Dyak_Tai18E2	jg5024.t1
2L	324864	325448	+	OG0001427	Dyak_Tai18E2	jg5023.t1
2L	325800	328015	-	OG0001428	Dyak_Tai18E2	jg5022.t1
2L	328684	332305	+	OG0001429	Dyak_Tai18E2	jg5021.t1
2L	333053	333948	-	OG0001430	Dyak_Tai18E2	jg5020.t1
2L	334690	336480	-	OG0001431	Dyak_Tai18E2	jg5019.t1
2L	338375	342009	-	OG0001432	Dyak_Tai18E2	jg5017.t1
2L	343580	343990	+	OG0001433	Dyak_Tai18E2	jg5016.t1
2L	344654	345525	-	OG0001434	Dyak_Tai18E2	jg5015.t1
2L	346395	348129	+	OG0001435	Dyak_Tai18E2	jg5014.t1
2L	350084	353950	+	OG0001436	Dyak_Tai18E2	jg5013.t1
2L	370967	371782	-	OG0001438	Dyak_Tai18E2	jg5012.t1
2L	373167	374000	-	OG0001439	Dyak_Tai18E2	jg5011.t1
2L	374920	375774	+	OG0001440	Dyak_Tai18E2	jg5010.t1
2L	380490	382562	-	OG0001441	Dyak_Tai18E2	jg5009.t1
2L	382893	385154	-	OG0001442	Dyak_Tai18E2	jg5008.t1
2L	387315	398807	+	OG0001437	Dyak_Tai18E2	jg5007.t1
2L	401800	403572	-	OG0001443	Dyak_Tai18E2	jg5006.t1
2L	424629	427473	+	OG0001444	Dyak_Tai18E2	jg5004.t1
2L	437256	442165	-	OG0001445	Dyak_Tai18E2	jg5003.t1
2L	444817	448326	+	OG0001446	Dyak_Tai18E2	jg5002.t1
2L	449836	453881	-	OG0001447	Dyak_Tai18E2	jg5001.t1
2L	455989	458230	+	OG0001448	Dyak_Tai18E2	jg5000.t1
2L	459191	460234	-	OG0001449	Dyak_Tai18E2	jg4999.t1
2L	461101	461587	+	OG0001450	Dyak_Tai18E2	jg4998.t1
2L	461941	462366	-	OG0001451	Dyak_Tai18E2	jg4997.t1
2L	462798	463434	+	OG0001452	Dyak_Tai18E2	jg4996.t1
2L	464444	466288	+	OG0001453	Dyak_Tai18E2	jg4995.t1
2L	479913	489077	+	OG0001454	Dyak_Tai18E2	jg4993.t1
2L	490856	492611	-	OG0001455	Dyak_Tai18E2	jg4992.t1
2L	495183	496325	+	OG0001456	Dyak_Tai18E2	jg4991.t1
2L	497331	499690	+	OG0001457	Dyak_Tai18E2	jg4990.t1
2L	501839	509859	-	OG0001458	Dyak_Tai18E2	jg4989.t1
2L	514314	516864	+	OG0001459	Dyak_Tai18E2	jg4988.t1
2L	518086	520616	-	OG0001460	Dyak_Tai18E2	jg4987.t1
2L	532672	583799	+	OG0001461	Dyak_Tai18E2	jg4986.t1
2L	585769	586248	-	OG0001462	Dyak_Tai18E2	jg4985.t1
2L	587288	588580	-	OG0001463	Dyak_Tai18E2	jg4984.t1
2L	589218	591540	+	OG0001464	Dyak_Tai18E2	jg4983.t1
2L	592068	593996	-	OG0001465	Dyak_Tai18E2	jg4982.t1
2L	598858	603687	-	OG0001466	Dyak_Tai18E2	jg4980.t1
2L	604567	605183	+	OG0001467	Dyak_Tai18E2	jg4979.t1
